timestamp,open,high,low,close,volume
2025-05-30 15:00:00+00:00,2595.05,2607.23,2594.42,2606.66,1338.95276
2025-05-30 15:15:00+00:00,2606.66,2616.64,2597.93,2613.33,1882.15938
2025-05-30 15:30:00+00:00,2613.33,2614.57,2597.22,2603.6,2082.2284
2025-05-30 15:45:00+00:00,2603.6,2606.05,2597.18,2597.86,1426.44075
2025-05-30 16:00:00+00:00,2597.86,2604.19,2591.73,2596.66,1475.12214
2025-05-30 16:15:00+00:00,2596.66,2596.78,2569.7,2572.49,4170.74028
2025-05-30 16:30:00+00:00,2572.49,2574.39,2531.8,2552.74,13661.87236
2025-05-30 16:45:00+00:00,2552.74,2552.79,2539.42,2540.68,2662.05789
2025-05-30 17:00:00+00:00,2540.68,2559.76,2539.73,2551.87,1682.63798
2025-05-30 17:15:00+00:00,2551.87,2558.0,2545.5,2547.6,1283.57587
2025-05-30 17:30:00+00:00,2547.6,2554.39,2542.73,2547.33,840.78324
2025-05-30 17:45:00+00:00,2547.33,2550.79,2539.63,2549.53,1222.66816
2025-05-30 18:00:00+00:00,2549.53,2560.91,2547.72,2556.8,1474.06888
2025-05-30 18:15:00+00:00,2556.8,2577.21,2556.41,2573.8,2838.87539
2025-05-30 18:30:00+00:00,2573.8,2575.93,2567.35,2570.27,1095.69652
2025-05-30 18:45:00+00:00,2570.27,2578.92,2570.04,2578.3,896.80206
2025-05-30 19:00:00+00:00,2578.3,2585.15,2574.38,2578.4,1265.22269
2025-05-30 19:15:00+00:00,2578.4,2581.99,2577.83,2580.67,968.91932
2025-05-30 19:30:00+00:00,2580.67,2581.88,2573.17,2577.02,1261.09425
2025-05-30 19:45:00+00:00,2577.02,2580.49,2572.08,2574.52,1360.87223
2025-05-30 20:00:00+00:00,2574.52,2575.86,2565.69,2569.01,874.15816
2025-05-30 20:15:00+00:00,2569.01,2578.37,2568.81,2572.6,637.32103
2025-05-30 20:30:00+00:00,2572.6,2585.21,2569.24,2583.67,1073.19667
2025-05-30 20:45:00+00:00,2583.67,2589.84,2575.42,2577.21,1493.81421
2025-05-30 21:00:00+00:00,2577.21,2582.99,2576.42,2581.6,551.208
2025-05-30 21:15:00+00:00,2581.6,2586.2,2580.51,2581.65,347.82851
